name_lower,name,category_raw,description,brand,price,mrp,image_url,product_url,specifications_raw,rating,review_count,seller,source,non_null_count,category,specifications,image_valid,anomaly_reason
"acer nitro 27 inch wqhd ips panel gaming monitor (xb271hu)  (response time: 4 ms, 144 hz refresh rate)","Acer Nitro 27 Inch Wqhd Ips Panel Gaming Monitor (Xb271Hu)  (Response Time: 4 Ms, 144 Hz Refresh Rate)",Electronics,Monitor,Generic,29999.0,73900.0,https://rukminim1.flixcart.com/image/312/312/jsnjbm80/monitor/x/h/7/xb271hu-um-hx1ss-002-acer-original-imafe6gcsr3ncg8a.jpeg?q=70,,Panel Type: IPS Panel Screen Resolution Type: WQHD Brightness: 350 nits Response Time: 4 ms | Refresh Rate: 144 Hz HDMI Ports - 1,4.5,274,CORSECA,DF2,11,Electronics,"{""Panel Type"": ""IPS Panel Screen Resolution Type: WQHD Brightness: 350 nits Response Time: 4 ms"", ""Refresh Rate"": ""144 Hz HDMI Ports - 1""}",True,Description too short
"atlas 4*4 curvy black with 8"" round rod shower head","Atlas 4*4 Curvy Black With 8"" Round Rod Shower Head",Home And Furniture,Good quality,Generic,246.0,999.0,https://rukminim1.flixcart.com/image/612/612/kffq2kw0/shower-head/m/h/d/4-4-curvy-black-with-8-round-rod-chrome-at-blk-01-atlas-original-imafvvj9mzm2r2gu.jpeg?q=70,,Fixed Mount Shower Head Finish: chrome Mount: Wall Mount Rain Spray Patterns Made of Steel,4.1,445,Matrix India,DF2,11,Home,"{""Fixed Mount Shower Head Finish"": ""chrome Mount: Wall Mount Rain Spray Patterns Made of Steel""}",True,Description too short
"immutale p47 wireless bluetooth headphones 5.0+edr with volume control,t16 smart headphones  (wireless)","Immutale P47 Wireless Bluetooth Headphones 5.0+Edr With Volume Control,T16 Smart Headphones  (Wireless)",Electronics,#NAME?,Generic,499.0,799.0,https://rukminim1.flixcart.com/image/612/612/l1grgcw0/smart-headphone/a/m/0/p47-wireless-bluetooth-headphones-5-0-edr-with-volume-control-original-imagdfy5erzf8kk4.jpeg?q=70,,Wireless Fitness Tracking Color: Black Supports ANDROID IOS,3.6,316,RMENTERPRISE,DF2,11,Electronics,"{""Wireless Fitness Tracking Color"": ""Black Supports ANDROID IOS""}",True,Description too short
impactgift premium quality happy birthday jay and light gift for special one ceramic coffee mug  (330 ml),Impactgift Premium Quality Happy Birthday Jay And Light Gift For Special One Ceramic Coffee Mug  (330 Ml),Home And Furniture,C,Generic,177.0,599.0,https://rukminim1.flixcart.com/image/612/612/kt64fbk0/mug/u/q/o/premium-quality-happy-birthday-jay-and-light-gift-for-special-original-imag6k8sjq5phgvy.jpeg?q=70,,Made of: Ceramic Type: Coffee Mug Microwave Safe Capacity: 330 ml Pack of: 1,4.2,63,AdvanceStore,DF2,11,Home,"{""Made of"": ""Ceramic Type: Coffee Mug Microwave Safe Capacity: 330 ml Pack of: 1""}",True,Description too short
lkbs art 4x6 ft (without cushion) double metal sofa bed  (finish color - red mechanism type - fold out delivery condition - pre-assembled),Lkbs Art 4X6 Ft (Without Cushion) Double Metal Sofa Bed  (Finish Color - Red Mechanism Type - Fold Out Delivery Condition - Pre-Assembled),Home And Furniture,4 X 6,Generic,4252.0,11200.0,https://rukminim1.flixcart.com/image/612/612/knknc7k0/sofa-bed/7/m/l/double-2-seater-red-na-lkbs-sb-67-lkbs-art-red-original-imag27wjxgdphdaw.jpeg?q=70,,Mattress Included: Yes Seat Capacity: 2 Seater W x H x D: 121 cm x 60 cm x 76 cm (3 ft 11 in x 1 ft 11 in x 2 ft 5 in) Delivery Condition: Pre Assembled (Ready to Use),4.0,146,,DF2,10,Home,"{""Mattress Included"": ""Yes Seat Capacity: 2 Seater W x H x D: 121 cm x 60 cm x 76 cm (3 ft 11 in x 1 ft 11 in x 2 ft 5 in) ""}",True,Description too short
"manbhavna rubber bathroom mat  (grey, pink, blue, large)","Manbhavna Rubber Bathroom Mat  (Grey, Pink, Blue, Large)",Home And Furniture,TERRENE,Generic,255.0,999.0,https://rukminim1.flixcart.com/image/612/612/xif0q/mat/d/o/g/large-rubber-bathroom-mat-1-146-manbhavna-original-imaggzcwpuypzwep.jpeg?q=70,,Pattern: Solid Size: Large,4.1,330,ROCYXZ,DF2,11,Home,"{""Pattern"": ""Solid Size: Large""}",True,Description too short
nv sports rsn 10 kg home gym ( 2.5 kg 4 pvc plate + 2 dumble rod ) best home gym set. adjustable dumbbell  (10 kg),Nv Sports Rsn 10 Kg Home Gym ( 2.5 Kg 4 Pvc Plate + 2 Dumble Rod ) Best Home Gym Set. Adjustable Dumbbell  (10 Kg),"Sports, Books And More",RSN Dumbbells,Generic,435.0,699.0,https://rukminim1.flixcart.com/image/612/612/kuk4u4w0/dumbbell/w/k/r/10-kg-home-gym-2-5-kg-4-pvc-plate-2-dumble-rod-best-home-gym-set-original-imag7n9vk99ryfcf.jpeg?q=70,,Type: Adjustable Dumbbell Weight: 10 kg,3.8,212,ASENTERPRISESSSSS,DF2,11,Sports,"{""Type"": ""Adjustable Dumbbell Weight: 10 kg""}",True,Description too short
"protinex junior nutrition drink  (400 g, vanilla flavored)","Protinex Junior Nutrition Drink  (400 G, Vanilla Flavored)",Soft Drinks,HEALTHDRINKS,Protinex,617.0,650.0,https://rukminim1.flixcart.com/image/832/832/jdg9ocw0/protein-supplement/v/6/2/8906048500484-protinex-original-imaf2ctyrgds6vxg.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jdg9ocw0/protein-supplement/v/6/2/8906048500484-protinex-original-imaf2ctyfdyzzzhk.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jdj4k280/protein-supplement/v/6/2/8906048500484-protinex-original-imaf2ctyzn3e6d9w.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jdg9ocw0/protein-supplement/v/6/2/8906048500484-protinex-original-imaf2ctyn5zdghkz.jpeg?q=70,https://www.flipkart.com/protinex-junior-nutrition-drink/p/itmf3ruzfy64ujam?pid=PSLEP45QN9FHRV62&lid=LSTPSLEP45QN9FHRV62FTTMCI&marketplace=GROCERY&iid=cee040bc-dc87-4c23-939a-43523be56c3f.PSLEP45QN9FHRV62.SEARCH,400 g,4.795464733196158,461,,DF1,11,Other,"{""Detail"": ""400 g""}",True,Description too short
"protinex nutrition drink  (400 g, vanilla flavored)","Protinex Nutrition Drink  (400 G, Vanilla Flavored)",Soft Drinks,HEALTHDRINKS,Protinex,508.0,535.0,https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/d/f/h/400-na-protinex-original-imafhujg3q84ftrg.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/d/f/h/400-na-protinex-original-imafhujgj5mpbzpj.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/d/f/h/400-na-protinex-original-imafhujgggjy2nzg.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/d/f/h/400-na-protinex-original-imafhujgn5hbjnzg.jpeg?q=70,https://www.flipkart.com/protinex-nutrition-drink/p/itmf3kctvzsyg36z?pid=PSLEP45QQXAK4DFH&lid=LSTPSLEP45QQXAK4DFHTW79ZU&marketplace=GROCERY&iid=fef2207d-9335-4ba1-8e26-a6116b3e71c9.PSLEP45QQXAK4DFH.SEARCH,400 g,4.795464733196158,307,,DF1,11,Other,"{""Detail"": ""400 g""}",True,Description too short
"protinex vanilla delight nutrition drink  (250 g, vanilla delight flavored)","Protinex Vanilla Delight Nutrition Drink  (250 G, Vanilla Delight Flavored)",Soft Drinks,HEALTHDRINKS,Protinex,326.0,340.0,https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/k/x/2/250-vanilla-delight-protinex-original-imafhujgyqkw2zzg.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/k/x/2/250-vanilla-delight-protinex-original-imafhujgr4uarubg.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/k/x/2/250-vanilla-delight-protinex-original-imafhujgzautbj2d.jpeg?q=70|https://rukminim1.flixcart.com/image/832/832/jxdkpzk0/energy-sport-drink-mix/k/x/2/250-vanilla-delight-protinex-original-imafhujgzyuzzwau.jpeg?q=70,https://www.flipkart.com/protinex-vanilla-delight-nutrition-drink/p/itmf3ruvtvnschug?pid=PSLEP45QQKYSVKX2&lid=LSTPSLEP45QQKYSVKX2Y1DTXQ&marketplace=GROCERY&iid=7888d428-5326-4a6d-985e-119f2a71cdcc.PSLEP45QQKYSVKX2.SEARCH,250 g,4.795464733196158,156,,DF1,11,Other,"{""Detail"": ""250 g""}",True,Description too short
"quantum qhm251h 3-button & 1 scroller, usb 2.0 mice compatible for pc/ laptop/ tablet wired optical mouse  (usb 2.0, black)","Quantum Qhm251H 3-Button & 1 Scroller, Usb 2.0 Mice Compatible For Pc/ Laptop/ Tablet Wired Optical Mouse  (Usb 2.0, Black)",Electronics,Wired Optical Mouse,Generic,189.0,699.0,https://rukminim1.flixcart.com/image/612/612/xif0q/mouse/l/y/a/qhm251h-3-button-1-scroller-usb-2-0-mice-compatible-for-pc-original-imaggbbkkwzbgkpd.jpeg?q=70,,Wired Interface: USB 2.0 Optical Mouse,4.5,575,RetailNet,DF2,11,Electronics,"{""Wired Interface"": ""USB 2.0 Optical Mouse""}",True,Description too short
"racro wrn_824r_mi 8.5 inch lcd writing board tablet of environmental protection and drawing board, notepad for kids, lcd draft pad smart ewriter for home, school and office  (black)","Racro Wrn_824R_Mi 8.5 Inch Lcd Writing Board Tablet Of Environmental Protection And Drawing Board, Notepad For Kids, Lcd Draft Pad Smart Ewriter For Home, School And Office  (Black)",Bady And Kids,100% ORIGINAL,Generic,211.0,1017.0,https://rukminim1.flixcart.com/image/612/612/kgqvlow0/learning-toy/n/z/h/wrn-824r-mi-8-5-inch-lcd-writing-board-tablet-of-environmental-original-imafwwbcggnznfgn.jpeg?q=70,,Plastic Material AAA Battery Width x Height: 180 mm x 260 mm,4.0,417,TITIRANGIGROUP,DF2,11,Other,"{""Plastic Material AAA Battery Width x Height"": ""180 mm x 260 mm""}",True,Description too short
"samsung original 25w ,usb -c compatible power adaptor for all samsung devices (fast charge 2.0)  (black)","Samsung Original 25W ,Usb -C Compatible Power Adaptor For All Samsung Devices (Fast Charge 2.0)  (Black)",Electronics,6 MONTH WARRANTY,Generic,1075.0,1699.0,https://rukminim1.flixcart.com/image/612/612/kl2mljk0/battery-charger/x/0/u/ep-ta800-samsung-original-imagya36jzxk5sgm.jpeg?q=70,,Wall Charger Suitable For: Mobile No Cable Included | With Dual USB Ports Universal Voltage Output Current : 3 A,4.4,101,SuperComNet,DF2,11,Electronics,"{""Wall Charger Suitable For"": ""Mobile No Cable Included"", ""With Dual USB Ports Universal Voltage Output Curre"": ""3 A""}",True,Description too short
secret temptation desire pack of 1 deodorant spray - for women  (150 ml),Secret Temptation Desire Pack Of 1 Deodorant Spray - For Women  (150 Ml),"Deos, Perfumes & Talc",deodorant for women,Secret Temptation,210.0,210.0,http://rukmini1.flixcart.com/image/832/832/jndhrbk0/deodorant/z/c/z/150-desire-pack-of-1-deodorant-spray-secret-temptation-women-original-imafa2kb2tvmuctn.jpeg?q=70,https://www.flipkart.com/secret-temptation-desire-pack-1-deodorant-spray-women/p/itmfa3yqthadpkx9?pid=DEOFA2MY2RG4HZCZ&lid=LSTDEOFA2MY2RG4HZCZJSBGDY&marketplace=GROCERY&iid=fbc45679-3367-4aad-84a5-ffbdd7fc7cac.DEOFA2MY2RG4HZCZ.SEARCH,150 ml,4.795464733196158,524,,DF1,11,Beauty,"{""Detail"": ""150 ml""}",True,Description too short
"sh.huda 12 pc set liquid matte lipstick  (multicolor, 60 ml)","Sh.Huda 12 Pc Set Liquid Matte Lipstick  (Multicolor, 60 Ml)",Women'S Wear,12 pc lipstick,Generic,307.0,999.0,https://rukminim1.flixcart.com/image/612/612/l0o6nbk0/lipstick/b/q/h/60-12-pc-set-liquid-matte-lipstick-sh-huda-original-imagcdzdktgfdhkg.jpeg?q=70,,Gives a Matte finish look Texture is: Liquid Quantity: 60 ml,4.1,232,TheDreamDeal,DF2,11,Fashion,"{""Gives a Matte finish look Texture is"": ""Liquid Quantity: 60 ml""}",True,Description too short
swaggers 11 compartments metal cash drawer  (black),Swaggers 11 Compartments Metal Cash Drawer  (Black),"Sports, Books And More",784,Generic,3999.0,5999.0,https://rukminim1.flixcart.com/image/612/612/ky0g58w0/desk-organizer/0/n/0/billing-machine-cash-drawer-big-cash-drawer-swaggers-original-imagac5guazzatzy.jpeg?q=70,,"12 mm, 10 mm, 8 mm 11 Compartments",4.2,407,SWAGGERS STORE ,DF2,11,Sports,"{""Detail"": ""8 mm 11 Compartments""}",True,Description too short
urbanic solid women sarong,Urbanic Solid Women Sarong,Women'S Wear,Split Beach Skirts,Generic,838.0,1390.0,https://rukminim1.flixcart.com/image/612/612/kwdv3bk0/top/v/d/o/-original-imag92rqcfmnuzgf.jpeg?q=70,,Type: Skirt Pattern: Solid For Women Fabric: Polyester Color: Brown,3.9,279,RetailNet,DF2,11,Fashion,"{""Type"": ""Skirt Pattern: Solid For Women Fabric: Polyester Color: Brown""}",True,Description too short
