Mission Name,Description,Products included,Categories included,Brands involved,Estimated budget,Confidence Score,Mission Coverage (%),Reason for creating this mission
Hostel Setup,Shopping mission tailored to facilitate hostel setup requirements.,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Jeteck Tripod Stand 7 Ft For Live Stream-Led Ring Light With Phone Holder Dimmable For Tik-Tok, Mx Taka Tak, Josh, Moj, Mitron, Vigo, Videos, Instagram Reels, Likee Tripod Stand Ring Flash Tripod Kit  (Multicolor, Supports Up To 2000 G) | Pozub Top Selling Pzbl03 Selfie Stick Tripod With Fill Light +Dustproof Bag Wireless Bluetooth Detachable Remote, 360°Rotation, Selfie Stick And Stand R1S With Flash Light And Remote Control Selfie Stick Extendable Stick Mini Tripod With Detachable Remote For Smart Selfie Phone Holder Camera Flash Brackets Best Use For Make Videos Compatible With Mobiles Video Stand In Gimbal Stabilizer, |In Mobile Holder For Hand| Stand For Online Classes Selfie Sticks & Monopods Tripod, Monopod, Monopod Kit, Tripod Ball Head, Tripod Bracket, Tripod Clamp, Tripod Kit  (Black, Supports Up To 700 G) | Indulekha Bhringa Hair Oil  (100 Ml) | Nova Ng 1153 Digital Usb Trimmer 160 Mins  Runtime 20 Length Settings  (Black) | Krishna Art Sheesham Wood Standard Tv Entertainment Unit Multipurpose Storage Cabinet Solid Wood Tv Entertainment Unit  (Finish Color - Honey, Diy(Do-It-Yourself))",Office | Home | Fashion | Electronics,Flipkart Supermart Kitchen Essentials | Generic | Indulekha | Flipkart Supermart Home Essentials,4946.55,0.9,4.0,Supports logical consumer requirement for hostel setup based on curated product inventory.
Gym Starter,Shopping mission tailored to facilitate gym starter requirements.,Himalaya Fairness Kesar Face Wash  (150 Ml) | Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Indulekha Bhringa Hair Oil  (100 Ml) | Man Matters Activated Charcoal Body Wash For Men | Skin Brightening Shower Gel | Niacinamide  (275 Ml) | Nike 5Th Element Deodorant Spray - For Women  (200 Ml) | Himalaya Khus Khus Baby Powder  (100 G),Other | Sports | Fashion | Groceries | Health | Beauty | Home,Himalaya | Nestle Nan Excella Pro | Tresemme | Softouch,4362.0,0.9,5.33,Supports logical consumer requirement for gym starter based on curated product inventory.
Weekly Grocery,Shopping mission tailored to facilitate weekly grocery requirements.,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Everyuth Naturals Brightening Lemon And Cherry Face Wash  (150 G) | Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Indulekha Bhringa Hair Oil  (100 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Bella Vita Organic Impact Eau De Cologne Perfume For Man With Notes Of Orange,Nutmeg,Woody Cedar Eau De Toilette  -  100 Ml  (For Men)",Other | Sports | Fashion | Groceries | Office | Beauty | Home | Electronics | Automotive,Everyuth Naturals | Set Wet Studio X | Generic | Indulekha,2056.68,0.9,4.0,Supports logical consumer requirement for weekly grocery based on curated product inventory.
Movie Night,Shopping mission tailored to facilitate movie night requirements.,"Samyang 85Mm T1.5 Vdslr Mk2 For Canon  Lens  (Black, 85 Mm) | Benq 24 Inch Full Hd Led Backlit Tn Panel Height Adjustment, 3D, Swivel Adjustment, Flicker-Free Gaming Monitor (Xl2411P)  (Response Time: 1 Ms, 144 Hz Refresh Rate) | Hp Laserjet M1005 Mfp Multi-Function Monochrome Laser Printer (Black Page Cost: 3 Rs.)  (White, Black, Toner Cartridge) | Vyog 10Kg Counter Weight Machine With Stainless Steel Top For Shop, Home Weighing Scale  (Blue) | Boat Storm Call 1.69 Inch Hd Display With Bluetooth Calling And 550 Nits Brightness Smartwatch  (Blue Strap, Free Size) | Portronics Usb Type C Cable 1.2 M Por-1081 Konnect L  (Compatible With All Phones With Type C Port, Grey, One Cable)",Other | Sports | Fashion | Groceries | Health | Beauty | Home | Electronics | Automotive,Scotch Brite | Set Wet Studio X | Complan | Rasna,8979.78,0.9,4.0,Supports logical consumer requirement for movie night based on curated product inventory.
Men's Shaving Ritual,Shopping mission tailored to facilitate men's shaving ritual requirements.,Old Spice Fresh Lime Pre Shave Cream  (70 G) | Spruce Shave Club Perfume Set For Men (Pack Of 4) | Long Lasting Perfume For Men-Best Gift For Men Eau De Parfum  -  32 Ml  (For Men) | Accessoreez Kemei Km-203B Professional Electric Hair Clipper Trimmer Shaver Razor Hair Scissors Hair Cutting Quiet Used For Man And Baby Grooming Kit 60 Min  Runtime 4 Length Settings  (White) | Nivea Men Deep Impact Comfort After Shave Lotion  (100 Ml) | Gillette Venus Hair Removal Razor For Women | Axe Temptation After Shave Lotion  (100 Ml),Other | Fashion,Old Spice | Generic | Nivea Men | Gillette,792.42,0.86,4.67,Supports logical consumer requirement for men's shaving ritual based on curated product inventory.
Oral Care Deep Clean,Shopping mission tailored to facilitate oral care deep clean requirements.,"Colgate Kids Barbie Toothpaste  (2 Minute Timer Free)  (80 G) | Meemee Fluoride-Free Strawberry Flavor Toothpaste  (140 G, Pack Of 2) | Colgate Kids Spiderman Toothpaste  (80 G) | Pepsodent Expert Protection Whitening Toothpaste  (140 G) | Closeup Red Hot Mouthwash - Clove Oil  (250 Ml)",Automotive,Colgate | Pepsodent | Closeup | Meemee,395.4,0.84,3.33,Supports logical consumer requirement for oral care deep clean based on curated product inventory.
Baby Care Essentials,Shopping mission tailored to facilitate baby care essentials requirements.,"Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Accessoreez Kemei Km-203B Professional Electric Hair Clipper Trimmer Shaver Razor Hair Scissors Hair Cutting Quiet Used For Man And Baby Grooming Kit 60 Min  Runtime 4 Length Settings  (White) | Himalaya Khus Khus Baby Powder  (100 G) | Rudra Creations Metal Desk Chair  (Finish Color - Blue, Diy(Do-It-Yourself))",Other | Fashion | Groceries | Health | Beauty | Home | Automotive,Scotch Brite | Himalaya | Nestle Nan Excella Pro | Vaseline,819.42,0.9,4.0,Supports logical consumer requirement for baby care essentials based on curated product inventory.
First Aid & Wellness,Shopping mission tailored to facilitate first aid & wellness requirements.,Himalaya Khus Khus Baby Powder  (100 G) | Flipkart Supermart Select Turmeric (Haldi Sticks)  (100 G) | Saffola Fittify Gourmet Superfood Moringa Lemongrass Green Tea Box  (37.5 G),Other | Beauty | Groceries,Himalaya | Saffola | Flipkart Supermart Select,320.01,0.85,2.0,Supports logical consumer requirement for first aid & wellness based on curated product inventory.
Car Care Maintenance,Shopping mission tailored to facilitate car care maintenance requirements.,"Mcaffeine Coffee Lip Balm For Dry & Pigmented Lips - 24 Hours Moisturization With Coffee Oil And Shea Butter  (Pack Of: 1, 12 G) | Himalaya Anti-Dandruff Shampoo,  (400 Ml) | Pantene Lively Clean Shampoo  (650 Ml) | Dove Intense Repair Shampoo  (650 Ml) | Tresemme Climate Protection Shampoo  (580 Ml) | Clinic Plus Strong & Long Health Shampoo  (340 Ml)",Other | Beauty | Fashion | Automotive,Himalaya | Tresemme | Head & Shoulders | Dove,644.73,0.9,4.0,Supports logical consumer requirement for car care maintenance based on curated product inventory.
Pooja Puja Essentials,Shopping mission tailored to facilitate pooja puja essentials requirements.,Nilkamal Travelite 1 Inch Single Cotton Mattress  (L X W: 72 Inch X 36 Inch),Home,Generic,4689.0,0.82,0.67,Supports logical consumer requirement for pooja puja essentials based on curated product inventory.
Birthday Party Prep,Shopping mission tailored to facilitate birthday party prep requirements.,"Samyang 85Mm T1.5 Vdslr Mk2 For Canon  Lens  (Black, 85 Mm) | Benq 24 Inch Full Hd Led Backlit Tn Panel Height Adjustment, 3D, Swivel Adjustment, Flicker-Free Gaming Monitor (Xl2411P)  (Response Time: 1 Ms, 144 Hz Refresh Rate) | Boat Storm Call 1.69 Inch Hd Display With Bluetooth Calling And 550 Nits Brightness Smartwatch  (Blue Strap, Free Size) | Portronics Usb Type C Cable 1.2 M Por-1081 Konnect L  (Compatible With All Phones With Type C Port, Grey, One Cable) | Mi 10000 Mah Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer) | Ubon 10000 Mah Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",Other | Sports | Fashion | Groceries | Health | Beauty | Home | Electronics | Automotive,Everyuth Naturals | Set Wet Studio X | Meemee | Set Wet,5739.18,0.9,4.0,Supports logical consumer requirement for birthday party prep based on curated product inventory.
Travel Packing Essentials,Shopping mission tailored to facilitate travel packing essentials requirements.,"Mi 10000 Mah Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer) | Ubon 10000 Mah Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer) | Ambrane 20000 Mah Power Bank (22.5 W, Fast Charging)  (Green, Lithium Polymer) | Nikon Af-S Nikkor 50Mm F/1.8G   Lens  (Black, 90 Mm) | Pozub Top Selling Pzbl03 Selfie Stick Tripod With Fill Light +Dustproof Bag Wireless Bluetooth Detachable Remote, 360°Rotation, Selfie Stick And Stand R1S With Flash Light And Remote Control Selfie Stick Extendable Stick Mini Tripod With Detachable Remote For Smart Selfie Phone Holder Camera Flash Brackets Best Use For Make Videos Compatible With Mobiles Video Stand In Gimbal Stabilizer, |In Mobile Holder For Hand| Stand For Online Classes Selfie Sticks & Monopods Tripod, Monopod, Monopod Kit, Tripod Ball Head, Tripod Bracket, Tripod Clamp, Tripod Kit  (Black, Supports Up To 700 G) | Perfumers Club Complete Fragrance Gift Set For Men | 7X8Ml Eau De Parfum | Refill For Lightr| Eau De Parfum  -  56 Ml  (For Men)",Sports | Home | Fashion | Electronics,Generic,18201.0,0.9,5.33,Supports logical consumer requirement for travel packing essentials based on curated product inventory.
Office/Study Desk Setup,Shopping mission tailored to facilitate office/study desk setup requirements.,"Pozub Top Selling Pzbl03 Selfie Stick Tripod With Fill Light +Dustproof Bag Wireless Bluetooth Detachable Remote, 360°Rotation, Selfie Stick And Stand R1S With Flash Light And Remote Control Selfie Stick Extendable Stick Mini Tripod With Detachable Remote For Smart Selfie Phone Holder Camera Flash Brackets Best Use For Make Videos Compatible With Mobiles Video Stand In Gimbal Stabilizer, |In Mobile Holder For Hand| Stand For Online Classes Selfie Sticks & Monopods Tripod, Monopod, Monopod Kit, Tripod Ball Head, Tripod Bracket, Tripod Clamp, Tripod Kit  (Black, Supports Up To 700 G) | Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Philips Mg3721/77 Pack Of 1 Grooming Kit 60 Min  Runtime 7 Length Settings  (Black) | Himalaya Anti-Dandruff Shampoo,  (400 Ml) | Nova Ng 1153 Digital Usb Trimmer 160 Mins  Runtime 20 Length Settings  (Black)",Fashion | Groceries | Beauty | Home | Electronics | Automotive,Head & Shoulders | Vaseline | Dove | Generic,4164.81,0.9,4.0,Supports logical consumer requirement for office/study desk setup based on curated product inventory.
Evening Tea/Coffee Break,Shopping mission tailored to facilitate evening tea/coffee break requirements.,"Mcaffeine Coffee Lip Balm For Dry & Pigmented Lips - 24 Hours Moisturization With Coffee Oil And Shea Butter  (Pack Of: 1, 12 G) | Himalaya Anti-Dandruff Shampoo,  (400 Ml) | Plum 1.5% Vitamin C Toner With Mandarin For Glowing Skin | Improves Uneven Skin Tone Men & Women  (100 Ml) | Pantene Lively Clean Shampoo  (650 Ml) | Orbit Sugar Free Spearmint Chewing Gum  (22 G) | Jeetna Hai To Jid Karo  - Jeetna Hain To Jid Karo Second Edition 2 Edition  (Hindi, Paperback, Hundiwalan S.)",Other | Sports | Fashion | Groceries | Beauty | Automotive,Meemee | Pantene | Orbit | Generic,690.33,0.9,4.67,Supports logical consumer requirement for evening tea/coffee break based on curated product inventory.
Home Cleaning & Sanitation,Shopping mission tailored to facilitate home cleaning & sanitation requirements.,"Krishna Art Sheesham Wood Standard Tv Entertainment Unit Multipurpose Storage Cabinet Solid Wood Tv Entertainment Unit  (Finish Color - Honey, Diy(Do-It-Yourself)) | Khargadham Double-Wheeled Ab Abdominal Cross-Fit Gym Equipment For Body Building Fitness Ab Exerciser  (Black, Green) | Dab N Klean Swachh Kichen Towel  (Buy 1 Get 1 (Dab N Klean Kitchen Towel) Free)  (2 Ply, 90 Sheets) | Flipkart Supermart Kitchen Essentials Kitchen Towel  (Buy 1 Get 1 Free)  (2 Ply, 60 Sheets) | Colgate Kids Spiderman Toothpaste  (80 G)",Sports | Home | Office | Automotive,Dab N Klean | Colgate | Flipkart Supermart Kitchen Essentials | Generic,9289.8,0.87,3.33,Supports logical consumer requirement for home cleaning & sanitation based on curated product inventory.
Pet Grooming Essentials,Shopping mission tailored to facilitate pet grooming essentials requirements.,"Fitshot Flair 1.43 Super Bright Display Women'S Smartatch With Uv Sensors Smartwatch  (Green Strap, Regular) | Vyog 10Kg Counter Weight Machine With Stainless Steel Top For Shop, Home Weighing Scale  (Blue) | Boat Storm Call 1.69 Inch Hd Display With Bluetooth Calling And 550 Nits Brightness Smartwatch  (Blue Strap, Free Size) | Mi 10000 Mah Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer) | Gionee Ufit 6 Bluetooth Calling Metallic Frame Smartwatch  (Matte Black Strap, Free Size) | Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G)",Other | Sports | Fashion | Groceries | Beauty | Home | Electronics | Automotive,Set Wet | Generic | Clinic Plus | L'Oreal Paris,3341.46,0.9,4.0,Supports logical consumer requirement for pet grooming essentials based on curated product inventory.
Quick Breakfast,Shopping mission tailored to facilitate quick breakfast requirements.,"Krishna Art Sheesham Wood Standard Tv Entertainment Unit Multipurpose Storage Cabinet Solid Wood Tv Entertainment Unit  (Finish Color - Honey, Diy(Do-It-Yourself)) | Nestle Munch Nuts Bars  (10% Extra In Pack)  (264 G) | Rasna Native Haat Honey Vita Chocolate Flavour  (500 G) | Happilo Premium Raw Organic Gluten Free White Quinoa Seeds  (500 G)",Other | Home | Health | Groceries,Happilo | Rasna | Nestle | Generic,11669.25,0.87,2.67,Supports logical consumer requirement for quick breakfast based on curated product inventory.
Baking Starter Kit,Shopping mission tailored to facilitate baking starter kit requirements.,"Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Mcaffeine Coffee Lip Balm For Dry & Pigmented Lips - 24 Hours Moisturization With Coffee Oil And Shea Butter  (Pack Of: 1, 12 G) | Beardo Whisky Smoke Edp 100 Ml Eau De Parfum  -  100 Ml  (For Men) | Whiskas Kitten (2-12 Months) Fish 1.1 Kg Dry Cat Food | Galaxy Smooth Milk Bars  (36 G)",Health | Fashion | Groceries,Milkybar | Vaseline | Generic | Pediasure,1041.9,0.89,4.0,Supports logical consumer requirement for baking starter kit based on curated product inventory.
Summer Hydration Kit,Shopping mission tailored to facilitate summer hydration kit requirements.,"Mifkrt Micro Usb Cable 1 M Vivo Charging Cable For All Vivo/ Phones And Android Phones, Only Cable,  (Compatible With All Mobile Vivo, Oppo, Samsung, Gionee And Mi, Vivo Phones, White, One Cable) | Bella Vita Organic White Oud Eau De Parfum,Long Lasting,Unisex Eau De Parfum  -  100 Ml  (For Men & Women) | Nike 5Th Element Deodorant Spray - For Women  (200 Ml) | Set Wet Chill Avatar Deodorant Spray - For Men  (150 Ml) | Park Avenue Cool Blue Soap  (6 X 125 G) | Set Wet Funky Avatar Perfume Body Spray - For Men  (120 Ml)",Other | Beauty | Fashion | Electronics,Set Wet | Generic | Glucon-D | Park Avenue,774.42,0.88,4.0,Supports logical consumer requirement for summer hydration kit based on curated product inventory.
Winter Skin Care,Shopping mission tailored to facilitate winter skin care requirements.,"Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Mcaffeine Coffee Lip Balm For Dry & Pigmented Lips - 24 Hours Moisturization With Coffee Oil And Shea Butter  (Pack Of: 1, 12 G) | Vaseline Healthy White Complete 10 Body Lotion  (400 Ml)",Beauty | Fashion,Nivea | Vaseline | Himalaya | Generic,755.4,0.85,3.33,Supports logical consumer requirement for winter skin care based on curated product inventory.
Eco-Friendly Home Pack,Shopping mission tailored to facilitate eco-friendly home pack requirements.,Sleepycat Original Ortho 3- Layered Medium Firm Memory 6 Inch King High Density (Hd) Foam Mattress  (L X W: 78 Inch X 72 Inch),Home,Generic,40797.0,0.82,0.67,Supports logical consumer requirement for eco-friendly home pack based on curated product inventory.
Hostel Room Cleaning,Shopping mission tailored to facilitate hostel room cleaning requirements.,Softouch Ocean Breeze Fabric Conditioner  (800 Ml),Other,Softouch,489.0,0.82,0.67,Supports logical consumer requirement for hostel room cleaning based on curated product inventory.
Newborn Baby Care,Shopping mission tailored to facilitate newborn baby care requirements.,"Himalaya Fairness Kesar Face Wash  (150 Ml) | Everyuth Naturals Brightening Lemon And Cherry Face Wash  (150 G) | Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Indulekha Bhringa Hair Oil  (100 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Bella Vita Organic Impact Eau De Cologne Perfume For Man With Notes Of Orange,Nutmeg,Woody Cedar Eau De Toilette  -  100 Ml  (For Men)",Other | Fashion | Groceries | Office | Beauty | Automotive,Himalaya | Everyuth Naturals | Nestle Nan Excella Pro | Tresemme,997.65,0.9,4.0,Supports logical consumer requirement for newborn baby care based on curated product inventory.
Dorm Cooking Essentials,Shopping mission tailored to facilitate dorm cooking essentials requirements.,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Set Wet Studio X Impact Perfume - 49 Ml  (For Men) | Tresemme Climate Protection Shampoo  (580 Ml) | Vagalleryking Pendant Wall Lamp Without Bulb  (Pack Of 2) | Sleepycat Original Ortho 3- Layered Medium Firm Memory 6 Inch King High Density (Hd) Foam Mattress  (L X W: 78 Inch X 72 Inch) | Pedigree Gravy Chicken Chunks For Puppy Chicken 1.2 Kg Wet Dog Food  (Pack Of 15)",Other | Groceries | Beauty | Home | Electronics,Himalaya | Set Wet Studio X | Pedigree | Happilo,3702.87,0.9,4.0,Supports logical consumer requirement for dorm cooking essentials based on curated product inventory.
Freelancer Remote Setup,Shopping mission tailored to facilitate freelancer remote setup requirements.,"Benq 24 Inch Full Hd Led Backlit Tn Panel Height Adjustment, 3D, Swivel Adjustment, Flicker-Free Gaming Monitor (Xl2411P)  (Response Time: 1 Ms, 144 Hz Refresh Rate) | Boat Usb Type C Cable 3 A 1.5 M Deuce Usb 330 2-In-1 Micro And With 3A Fast Charge,480Mbps  (Compatible With Mobile, Tablet, Speaker, Power Bank, Martian Red) | Dell Inspiron Core I5 11Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 3050) G15-5511 Gaming Laptop  (15.6 Inch, Specter Green With Speckles, 2.65 Kg, With Ms Office) | Mifkrt Micro Usb Cable 1 M Vivo Charging Cable For All Vivo/ Phones And Android Phones, Only Cable,  (Compatible With All Mobile Vivo, Oppo, Samsung, Gionee And Mi, Vivo Phones, White, One Cable) | Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Jeteck Tripod Stand 7 Ft For Live Stream-Led Ring Light With Phone Holder Dimmable For Tik-Tok, Mx Taka Tak, Josh, Moj, Mitron, Vigo, Videos, Instagram Reels, Likee Tripod Stand Ring Flash Tripod Kit  (Multicolor, Supports Up To 2000 G)",Sports | Fashion | Beauty | Home | Electronics,Nike | Generic,25781.31,0.9,4.0,Supports logical consumer requirement for freelancer remote setup based on curated product inventory.
Emergency Power & Lighting,Shopping mission tailored to facilitate emergency power & lighting requirements.,"Vyog 10Kg Counter Weight Machine With Stainless Steel Top For Shop, Home Weighing Scale  (Blue) | Ubon 10000 Mah Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer) | Mi 3I 20000 Mah Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer) | Philips 20000 Mah Power Bank (Fast Charging)  (Black, Lithium Polymer) | Pozub Top Selling Pzbl03 Selfie Stick Tripod With Fill Light +Dustproof Bag Wireless Bluetooth Detachable Remote, 360°Rotation, Selfie Stick And Stand R1S With Flash Light And Remote Control Selfie Stick Extendable Stick Mini Tripod With Detachable Remote For Smart Selfie Phone Holder Camera Flash Brackets Best Use For Make Videos Compatible With Mobiles Video Stand In Gimbal Stabilizer, |In Mobile Holder For Hand| Stand For Online Classes Selfie Sticks & Monopods Tripod, Monopod, Monopod Kit, Tripod Ball Head, Tripod Bracket, Tripod Clamp, Tripod Kit  (Black, Supports Up To 700 G) | Nova Ng 1153 Digital Usb Trimmer 160 Mins  Runtime 20 Length Settings  (Black)",Home | Fashion | Electronics,Generic,4969.68,0.88,4.0,Supports logical consumer requirement for emergency power & lighting based on curated product inventory.
Healthy Snacking,Shopping mission tailored to facilitate healthy snacking requirements.,Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Set Wet Chill Avatar Deodorant Spray - For Men  (150 Ml) | Himalaya Khus Khus Baby Powder  (100 G) | Flipkart Supermart Select Dry Apricots  (200 G) | Flipkart Supermart Select Pumpkin Seeds Assorted Nuts  (100 G) | Flipkart Supermart Select Soya Bean  (500 G),Other | Beauty | Fashion,Himalaya | Happilo | Set Wet | Saffola,441.36,0.88,4.0,Supports logical consumer requirement for healthy snacking based on curated product inventory.
Home Office Ergonomics,Shopping mission tailored to facilitate home office ergonomics requirements.,Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml),Fashion,Vaseline,621.0,0.82,0.67,Supports logical consumer requirement for home office ergonomics based on curated product inventory.
Weekend Party Prep,Shopping mission tailored to facilitate weekend party prep requirements.,"Ubon 10000 Mah Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer) | Indulekha Bhringa Hair Oil  (100 Ml) | Accessoreez Kemei Km-203B Professional Electric Hair Clipper Trimmer Shaver Razor Hair Scissors Hair Cutting Quiet Used For Man And Baby Grooming Kit 60 Min  Runtime 4 Length Settings  (White) | Limetro Steel Pack Of 50 Stainless Steel Heavy Quality Made In India Mirror Finish Set Of 50 (6 Dinner Plates, 6 Big, 6 Small Halva Plates, 6 Big, 6 Small Bowl/Wati, 6 Glasses, 6 Spoons, 6 Forks, 2 Serving Spoons) Dinner Set  (Steel) | Pedigree Gravy Chicken Chunks For Puppy Chicken 1.2 Kg Wet Dog Food  (Pack Of 15) | Complan Creamy Classic  (500 G)",Other | Fashion | Groceries | Office | Health | Home | Electronics | Automotive,Boost | Pedigree | Aachi | Nescafe,1447.14,0.9,4.0,Supports logical consumer requirement for weekend party prep based on curated product inventory.
